table_name,field_name,field_description,table_description
camps_projects,camp_id,معرف المخيم (مفتاح رئيسي),جدول المخيمات والمشاريع الأساسي
camps_projects,camp_name,اسم المخيم/المشروع,جدول المخيمات والمشاريع الأساسي
camps_projects,camp_type,نوع المخيم (خارجي/داخلي-سلمان/داخلي-اخر),جدول المخيمات والمشاريع الأساسي
camps_projects,location,الموقع,جدول المخيمات والمشاريع الأساسي
camps_projects,partner_organization,الجهة الشريكة,جدول المخيمات والمشاريع الأساسي
camps_projects,start_date,تاريخ البدء,جدول المخيمات والمشاريع الأساسي
camps_projects,end_date,تاريخ الانتهاء,جدول المخيمات والمشاريع الأساسي
camps_projects,status,الحالة (مخطط/جاري/مكتمل/ملغى),جدول المخيمات والمشاريع الأساسي
camps_projects,description,وصف المخيم,جدول المخيمات والمشاريع الأساسي
camps_projects,target_beneficiaries,العدد المستهدف من المستفيدين,جدول المخيمات والمشاريع الأساسي
camps_projects,actual_beneficiaries,العدد الفعلي للمستفيدين,جدول المخيمات والمشاريع الأساسي
camps_projects,created_by,منشئ السجل,جدول المخيمات والمشاريع الأساسي
camps_projects,created_date,تاريخ الإنشاء,جدول المخيمات والمشاريع الأساسي
camps_projects,updated_date,تاريخ آخر تحديث,جدول المخيمات والمشاريع الأساسي
staff_roles,role_id,معرف الدور (مفتاح رئيسي),جدول الأدوار الوظيفية
staff_roles,role_name,اسم الدور,جدول الأدوار الوظيفية
staff_roles,role_description,وصف الدور,جدول الأدوار الوظيفية
staff_roles,responsibilities,المسؤوليات,جدول الأدوار الوظيفية
staff_roles,required_qualifications,المؤهلات المطلوبة,جدول الأدوار الوظيفية
staff_roles,is_medical,هل الدور طبي؟,جدول الأدوار الوظيفية
staff_members,staff_id,معرف الموظف (مفتاح رئيسي),جدول أعضاء الفريق
staff_members,full_name,الاسم الكامل,جدول أعضاء الفريق
staff_members,employee_id,الرقم الوظيفي,جدول أعضاء الفريق
staff_members,phone,رقم الهاتف,جدول أعضاء الفريق
staff_members,email,البريد الإلكتروني,جدول أعضاء الفريق
staff_members,department,القسم,جدول أعضاء الفريق
staff_members,qualifications,المؤهلات,جدول أعضاء الفريق
staff_members,experience_years,سنوات الخبرة,جدول أعضاء الفريق
staff_members,specialization,التخصص,جدول أعضاء الفريق
staff_members,emergency_contact,جهة الاتصال للطوارئ,جدول أعضاء الفريق
staff_members,status,الحالة (نشط/غير نشط),جدول أعضاء الفريق
staff_members,hire_date,تاريخ التوظيف,جدول أعضاء الفريق
camp_assignments,assignment_id,معرف التكليف (مفتاح رئيسي),جدول تكليفات أعضاء الفريق للمخيمات
camp_assignments,camp_id,معرف المخيم (مفتاح خارجي),جدول تكليفات أعضاء الفريق للمخيمات
camp_assignments,staff_id,معرف الموظف (مفتاح خارجي),جدول تكليفات أعضاء الفريق للمخيمات
camp_assignments,role_id,معرف الدور (مفتاح خارجي),جدول تكليفات أعضاء الفريق للمخيمات
camp_assignments,assignment_date,تاريخ التكليف,جدول تكليفات أعضاء الفريق للمخيمات
camp_assignments,start_date,تاريخ بداية التكليف,جدول تكليفات أعضاء الفريق للمخيمات
camp_assignments,end_date,تاريخ نهاية التكليف,جدول تكليفات أعضاء الفريق للمخيمات
camp_assignments,specific_tasks,المهام المحددة,جدول تكليفات أعضاء الفريق للمخيمات
camp_assignments,daily_allowance,البدل اليومي,جدول تكليفات أعضاء الفريق للمخيمات
camp_assignments,transportation_allowance,بدل المواصلات,جدول تكليفات أعضاء الفريق للمخيمات
camp_assignments,accommodation_type,نوع السكن,جدول تكليفات أعضاء الفريق للمخيمات
camp_assignments,assignment_status,حالة التكليف,جدول تكليفات أعضاء الفريق للمخيمات
camp_assignments,assigned_by,المكلف من قبل,جدول تكليفات أعضاء الفريق للمخيمات
camp_assignments,notes,ملاحظات,جدول تكليفات أعضاء الفريق للمخيمات
patients_beneficiaries,patient_id,معرف المريض (مفتاح رئيسي),جدول المرضى والمستفيدين
patients_beneficiaries,registration_number,رقم التسجيل,جدول المرضى والمستفيدين
patients_beneficiaries,full_name,الاسم الكامل,جدول المرضى والمستفيدين
patients_beneficiaries,age,العمر,جدول المرضى والمستفيدين
patients_beneficiaries,gender,الجنس,جدول المرضى والمستفيدين
patients_beneficiaries,phone,رقم الهاتف,جدول المرضى والمستفيدين
patients_beneficiaries,address,العنوان,جدول المرضى والمستفيدين
patients_beneficiaries,governorate,المحافظة,جدول المرضى والمستفيدين
patients_beneficiaries,medical_history,التاريخ المرضي,جدول المرضى والمستفيدين
patients_beneficiaries,current_medications,الأدوية الحالية,جدول المرضى والمستفيدين
patients_beneficiaries,allergies,الحساسيات,جدول المرضى والمستفيدين
patients_beneficiaries,emergency_contact,جهة الاتصال للطوارئ,جدول المرضى والمستفيدين
patients_beneficiaries,registration_date,تاريخ التسجيل,جدول المرضى والمستفيدين
